gadm_id_0	gadm_id_1	gadm_id_2	n
17	21	0	1
35	1	3	3
35	1	7	7
35	2	9	637
35	2	11	1
35	2	18	6
35	2	19	3
35	4	28	1
39	2	16	3
39	2	18	17
39	3	23	7
39	3	32	4
39	5	45	3
39	5	48	2
39	5	49	1
39	6	58	1
39	8	77	1
39	9	83	1
39	11	88	3
39	12	92	1
39	13	94	18
39	13	95	1
39	14	99	1
39	14	101	1
39	16	108	989
39	17	114	4
39	19	125	3
39	20	136	2
39	21	151	20
39	22	159	1
39	23	165	2
39	23	166	2
39	24	171	4
106	1	1	1
106	1	2	4
106	1	3	1
106	1	4	2
106	1	5	4
106	1	7	3
106	1	10	1
106	1	11	2
106	1	12	187
106	1	14	5
106	1	17	19
106	1	19	4
106	1	20	3
106	2	22	19
106	2	23	1
106	2	24	25
106	2	25	176
106	2	26	11
106	2	27	3
106	2	28	37
106	2	29	1
106	2	30	7
106	3	31	1
106	3	32	1
106	3	34	21
106	3	36	2
106	4	38	2
106	4	39	316
106	4	40	13
106	4	41	4
106	4	42	34
106	4	43	73
106	5	46	37
106	6	53	1
106	6	54	7
106	6	55	3
106	6	57	5
106	7	58	2
106	7	59	2
106	7	60	20
106	7	63	13
106	7	65	1
106	8	67	4
106	8	68	6
106	8	69	3259
106	8	70	1
106	9	72	1
106	9	74	38
106	9	77	1
106	10	82	12
106	10	84	15
106	10	85	230
106	10	86	8
106	10	87	10
106	10	88	15
106	10	89	8
106	10	90	565
106	10	91	2
106	10	92	17
106	10	93	6
106	10	94	2341
106	10	95	16
106	10	96	1534
106	10	98	3
106	10	99	7
106	10	100	9
106	10	101	18
106	10	102	10
106	10	103	3
106	10	104	1
106	10	105	16
106	11	107	1
106	11	109	9
106	11	111	2
106	11	116	3
106	11	117	21
106	11	118	1
106	11	119	4
106	11	120	6
106	11	123	393
106	11	124	2
106	11	125	1
106	11	127	4
106	11	130	2
106	11	131	63
106	11	132	4
106	11	133	1
106	11	134	40
106	11	135	2
106	11	136	3
106	11	137	4
106	11	138	173
106	11	140	2
106	11	142	4
106	12	143	5
106	12	144	4
106	12	145	7
106	12	147	1
106	12	148	2
106	12	149	7
106	12	150	2
106	12	151	71
106	12	152	2
106	12	153	1
106	12	154	2
106	12	155	5
106	12	156	23
106	12	157	2
106	12	159	4
106	12	160	39
106	12	161	411
106	12	162	6
106	12	163	11
106	12	165	5
106	12	167	2
106	12	168	63
106	12	170	11
106	12	171	2
106	12	172	2
106	12	173	1
106	12	174	14
106	12	175	10
106	12	176	6
106	12	177	4
106	12	178	964
106	12	180	3
106	12	181	4
106	13	186	1
106	13	187	34
106	13	189	62
106	13	190	2
106	13	191	29
106	14	195	14
106	14	196	1
106	14	197	39
106	14	204	2
106	15	209	5
106	15	214	1
106	15	219	58
106	15	220	1
106	15	221	4
106	16	222	21
106	16	224	3
106	16	227	2
106	16	228	1
106	16	231	1
106	16	233	62
106	16	234	4
106	17	235	3
106	17	237	4
106	17	239	1
106	18	241	79
106	18	242	12
106	18	245	9
106	18	246	1
106	18	248	11
106	18	250	9
106	19	254	1
106	20	259	19
106	20	260	1
106	20	263	5
106	20	264	2
106	21	267	61
106	21	269	1
106	21	270	6
106	21	271	3
106	21	272	7
106	21	273	90
106	21	275	11
106	22	278	2
106	22	279	6
106	22	280	1
106	22	281	52
106	22	283	5
106	22	284	34
106	22	285	2
106	22	286	1
106	22	287	11
106	22	288	16
106	22	290	1
106	22	291	5
106	23	293	1
106	23	295	42
106	23	296	1
106	23	299	1
106	23	300	70
106	23	301	2
106	24	311	4
106	24	313	2
106	24	315	1
106	24	316	1
106	24	317	116
106	24	318	8
106	24	321	1
106	25	323	2
106	26	330	2
106	26	331	2
106	26	332	1
106	26	335	6
106	26	336	1
106	26	337	360
106	26	338	3
106	26	340	1
106	26	342	1
106	26	344	3
106	26	348	14
106	27	350	1
106	27	351	5
106	27	353	4
106	27	355	60
106	27	356	20
106	27	359	6
106	28	363	35
106	28	364	2
106	28	365	9
106	28	366	7
106	28	368	3
106	29	369	3
106	29	370	16
106	29	371	4
106	29	372	127
106	29	374	6
106	29	375	7
106	29	376	1
106	29	377	3
106	30	378	5
106	30	382	6
106	30	385	198
106	30	386	1
106	30	389	1
106	30	390	4
106	30	392	3
106	30	394	2
106	30	395	9
106	30	396	3
106	31	397	78
106	31	403	15
106	31	407	1
106	31	408	1
106	32	411	2
106	32	413	2
106	32	414	14
106	32	416	1
106	32	417	3
106	32	418	3
106	32	419	2
106	32	421	222
106	32	422	2
106	32	423	2
106	32	428	4
106	32	430	1
106	32	434	2
106	32	436	3
106	33	437	1
106	33	438	3
106	33	439	5
106	33	440	9
106	33	441	1079
123	1	2	1
123	4	19	4
123	4	20	2
123	4	23	4
123	6	42	6
123	7	47	1
123	7	49	1
123	8	51	36
123	11	79	2
123	12	86	29
123	13	98	708
123	13	106	1
123	14	112	1
123	15	125	2
123	16	129	1
136	1	1	179
136	1	2	6108
136	1	3	1
136	1	4	1
136	1	5	1
136	1	6	10
136	1	7	2
136	1	8	24
136	2	10	222
136	2	11	69
136	2	12	91
136	2	13	280
136	2	14	92
136	2	15	4
136	2	19	1
136	3	20	11
136	3	21	3
136	3	22	385
136	3	23	2
136	3	24	18
136	3	25	2
136	4	29	69
136	4	30	2
136	4	31	1250
136	5	32	13
136	5	33	1
136	5	34	45
136	5	35	7
136	5	36	46
136	5	37	471
136	5	38	1
136	6	39	2
136	6	42	1
136	6	43	312
136	6	45	2
136	6	46	913
136	6	48	7
136	6	49	2
136	7	50	25
136	7	51	13
136	7	52	5
136	7	54	1338
136	7	55	3
136	7	56	23
136	7	57	2
136	7	58	32
136	8	60	1130
136	9	61	33
136	9	62	162
136	9	63	34
136	9	64	25
136	9	65	4538
136	10	66	3
136	10	67	9
136	10	68	3
136	10	70	225
136	10	72	29
136	10	73	25
136	10	75	2
136	10	76	65
136	10	78	1
136	10	81	32
136	10	82	184
136	10	83	3
136	10	84	1
136	10	85	2
136	10	86	2
136	11	89	1
136	11	95	2
136	11	96	43
136	11	105	6
136	11	106	207
136	11	107	3
136	11	116	156
136	11	117	3
136	11	122	11
136	11	130	5
136	11	133	2
136	11	134	30
136	11	139	2
136	11	140	1
136	12	145	34
136	12	146	1669
136	12	148	44
136	12	149	272
136	12	150	14132
136	12	151	829
136	12	152	590
136	12	153	17293
136	13	154	1
136	13	155	249
136	13	156	4
136	13	157	34
136	13	158	619
136	13	159	2
154	1	1	1
154	1	2	7
154	2	7	4
154	2	8	1
154	4	12	1
154	4	13	4
154	5	16	1
154	7	20	2
154	7	21	1
154	7	22	3
154	8	24	5
154	8	25	77
154	8	26	5
154	8	27	4
154	8	29	84
154	9	30	9
154	10	32	1
154	10	36	1
154	11	39	3
154	11	41	3
154	11	42	17
154	11	43	1
154	12	47	1
154	12	53	2
154	13	56	1
154	13	58	1
154	14	60	1
154	14	62	381
177	2	29	21
177	2	35	1
177	4	58	2
177	5	78	13
177	5	80	1
177	5	83	1
177	5	89	5
177	8	116	3
177	9	127	13
177	10	137	1
177	10	142	1
177	10	143	2
177	12	157	13
177	12	165	1
177	12	166	2
177	12	172	1
177	12	173	2
177	12	180	4
177	12	184	1
177	13	188	1
177	13	189	64
177	13	197	21
177	14	206	9
177	15	235	2
177	15	252	11
177	15	256	1
177	16	268	1
177	16	270	2
177	16	273	2
177	16	279	1
177	17	284	15
177	17	290	1
177	17	302	132
177	18	308	2
177	18	314	2
177	18	331	10
177	18	332	11
177	19	339	1
177	20	361	1
177	20	362	1
177	20	370	10
177	22	402	1
177	24	420	2
177	24	421	60
177	24	422	19
177	24	425	2
177	24	435	1
177	24	436	3
177	25	442	35
177	25	449	1
177	25	450	1
177	25	453	1
177	25	456	314
177	25	469	16
177	25	476	1
177	25	493	1
177	27	510	12
177	27	514	13
177	28	517	162
177	28	530	1
177	29	537	3
177	29	540	3
177	29	541	3
177	31	553	1
177	32	574	3
177	34	594	1
177	34	600	4
177	34	602	1
177	34	606	1
177	35	646	4
177	36	653	5
177	36	667	221
177	36	674	2
177	36	688	2
177	37	692	2
177	37	694	1
177	37	696	2
177	37	709	2
177	37	718	5
177	37	725	2
177	38	732	4
177	39	738	2
177	39	744	2
177	40	758	7
177	40	759	1
177	40	760	6
177	40	761	1
177	40	768	735
177	40	780	1
177	40	783	9
177	40	784	217
177	40	789	3
177	41	794	80
177	42	829	31
177	43	857	2
177	43	862	8
177	43	878	96
177	43	886	1
177	43	887	7
177	43	894	6
177	44	902	24
177	46	929	1
177	46	935	4
177	46	941	199
177	47	952	142
177	47	954	84
177	47	955	2509
177	47	956	2
177	47	957	108
177	47	959	9
177	47	960	3
177	47	961	112
177	47	963	1804
177	47	964	8
177	47	965	100
177	48	977	8
177	49	988	30
177	49	1003	7
177	50	1013	1
177	50	1014	2
177	51	1020	25
177	51	1023	1
177	51	1031	6
177	51	1035	1
177	51	1039	1
177	51	1040	2
177	51	1042	31
177	51	1051	2
177	52	1052	1
177	52	1057	1
177	52	1061	69
177	53	1083	1
177	53	1084	2
177	54	1099	9
177	54	1109	1
177	55	1121	2
177	55	1124	1
177	55	1133	1
177	55	1135	38
177	55	1137	1
177	55	1139	1
177	55	1141	17
177	55	1143	1
177	56	1155	1
177	56	1156	2
177	57	1174	1
177	57	1175	2
177	58	1180	1
177	58	1186	1
177	59	1193	2
177	59	1203	2
177	59	1209	29
177	60	1216	19
177	60	1219	6
177	60	1220	1
177	61	1251	2
177	61	1254	1
177	61	1255	5
177	61	1270	2
177	61	1280	2
177	61	1284	1
177	62	1290	11
177	62	1304	4
177	62	1308	1
177	62	1317	1
177	62	1321	2
177	63	1330	1
177	64	1335	2
177	64	1337	5
177	64	1343	3
177	65	1361	4
177	66	1369	3
177	67	1393	2
177	68	1406	1
177	70	1421	1
177	70	1429	2
177	71	1430	1
177	71	1431	13
177	71	1434	1
177	72	1449	11
177	73	1468	1
177	73	1469	1
177	74	1476	2
177	74	1477	1
177	75	1499	8
177	77	1535	1
177	77	1537	1
177	77	1549	13
177	78	1553	5
177	79	1562	1
177	79	1563	2
177	79	1564	1
177	79	1566	1
177	79	1567	2
177	80	1578	7
177	81	1620	26
177	81	1631	24
177	82	1641	77
203	0	0	44785
226	1	4	2
226	2	10	1
226	3	16	2
226	3	18	3
226	3	22	3
226	3	25	1
226	3	28	18
226	3	32	5
226	3	39	76
226	3	47	26352
226	3	52	2
226	3	61	8
226	3	63	4
226	4	74	1
226	4	76	28
226	5	93	68
226	6	103	5
226	7	116	10
226	7	121	1
226	8	126	1
226	8	129	72
226	9	134	5
226	9	135	1
226	9	136	1
226	9	139	1
226	9	142	2
226	9	145	3
226	9	146	1
226	9	148	3432
226	9	149	1
226	9	154	1
226	10	157	2
226	10	162	8
226	10	163	1
226	10	165	2
226	10	167	103
226	10	169	4
226	11	175	1
226	11	176	9
226	11	180	675
226	11	184	2
226	11	185	19
226	12	188	44
226	12	191	1
226	13	204	27
226	13	209	2
226	14	218	6
226	15	227	68
226	15	231	6
226	15	234	37
226	16	238	1
226	16	239	2
226	16	248	2997
226	16	252	1
226	17	267	6
226	18	273	1
226	18	276	158
226	19	286	9
226	19	288	20
226	20	295	45
226	20	301	1
226	21	310	41
226	22	318	1
226	23	328	26
226	23	329	8
226	23	330	463
226	23	331	1
226	24	339	1
226	25	344	157
226	25	345	29
226	26	349	17
226	26	350	1825
226	26	352	351
226	27	356	29
226	28	385	976
226	28	390	8
226	28	392	2
226	29	406	52
226	30	418	7
226	30	424	146
226	30	432	29
226	30	435	1
226	31	440	2
226	31	441	1
226	31	442	22
226	32	454	23
226	32	458	2
226	33	464	1
226	34	470	1
226	34	477	23
226	35	490	1136
226	36	493	42
226	36	496	4324
226	36	498	2
226	36	499	122
226	37	505	159
226	37	506	1
226	38	515	7
226	40	526	106
226	41	532	2
226	41	533	1
226	41	535	2
226	41	539	225
226	41	540	11
226	42	546	22
226	42	550	1
226	43	557	56
226	43	559	1
226	44	564	4
226	45	575	865
226	46	583	1
226	46	587	11
226	46	591	66
226	46	592	1
226	46	595	1
226	47	597	1
226	47	598	10
226	47	601	3
226	47	602	1
226	48	604	2
226	48	605	147
226	49	607	2
226	49	608	3
226	49	609	16
226	50	616	1
226	50	619	15
226	51	626	18
226	52	627	2
226	52	630	5
226	52	632	38
226	52	634	1
226	53	642	70
226	54	653	16
226	54	660	1
226	55	665	1
226	55	670	23
226	56	681	76
226	56	683	6
226	57	695	67
226	58	700	10
226	59	703	3
226	60	709	27
226	61	720	1
226	61	721	3
226	62	731	1
226	62	734	16
226	63	749	4
226	65	754	21
226	65	755	1001
226	65	759	2011
226	65	766	3
226	66	771	3
226	66	772	12
226	67	782	8
226	67	784	1
226	67	787	2
226	68	792	7
226	68	798	3
226	68	800	51
226	68	801	2
226	68	802	4
226	69	816	65
226	69	822	2
226	70	824	6
226	70	826	3
226	70	827	125
226	70	828	43
226	70	832	2
226	71	835	1
226	71	836	59
226	71	840	1
226	72	847	4
226	72	849	6
226	73	863	427
226	73	870	18
226	73	874	25
226	74	882	72
226	74	886	1
226	75	898	1
226	76	905	1
226	76	906	39
226	77	916	23
226	77	919	2
226	78	920	2
226	78	927	1
247	1	1	15
247	1	2	18
247	1	3	6
247	1	4	14
247	1	5	294
247	1	6	5
247	1	7	1
247	1	8	2
247	1	9	41
247	1	10	894
247	1	11	20
247	1	12	39
247	1	13	15
247	2	14	42
247	2	15	18
247	2	16	94
247	2	17	30
247	2	18	6151
247	2	19	4
247	2	20	6
247	2	21	4
247	2	22	6
247	2	23	3
247	2	24	45
247	3	25	7
247	3	27	1
247	3	28	2
247	3	29	4
247	3	30	18
247	3	31	15
247	3	32	5
247	3	33	122
247	3	34	6
247	3	35	48
247	4	36	12
247	4	37	16
247	4	38	9
247	4	40	41
247	4	41	2358
247	4	42	4
247	4	43	1
247	5	44	5
247	5	45	183
247	5	46	26
247	5	47	2
247	5	48	316
247	5	49	11
247	6	50	142
247	6	51	88
247	6	52	203
247	6	53	4
247	6	54	12
247	6	55	9
247	7	59	5
247	8	60	7
247	8	62	5
247	8	64	64
			11225
