gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	n
35	1	35	2	1
35	1	226	3	2
35	2	35	1	1
35	2	35	4	1
35	2	106	4	1
35	2	106	8	1
35	2	106	10	1
35	2	106	12	3
35	2	106	16	1
35	2	136	1	6
35	2	136	4	1
35	2	136	5	1
35	2	136	7	2
35	2	136	9	3
35	2	136	10	3
35	2	136	12	26
35	2	136	13	2
35	2	177	47	2
35	2	203	0	22
35	2	226	3	5
35	2	226	9	2
35	2	226	36	1
35	2	247	2	1
35	4	35	2	1
39	2	39	16	9
39	2	39	24	1
39	2	226	3	1
39	2	247	4	1
39	3	39	16	6
39	3	39	24	2
39	3	203	0	1
39	5	39	16	1
39	6	226	16	1
39	9	39	16	1
39	11	39	16	1
39	11	123	13	1
39	12	226	70	1
39	12	247	4	1
39	13	39	16	5
39	13	39	19	1
39	13	106	8	1
39	13	136	12	2
39	13	226	3	1
39	13	226	18	1
39	13	226	35	1
39	13	247	4	2
39	16	39	2	9
39	16	39	3	6
39	16	39	5	1
39	16	39	9	1
39	16	39	11	1
39	16	39	13	5
39	16	39	17	2
39	16	39	19	3
39	16	39	20	2
39	16	39	21	6
39	16	39	23	2
39	16	39	24	3
39	16	106	2	3
39	16	106	8	18
39	16	106	10	13
39	16	106	21	3
39	16	123	8	1
39	16	123	13	29
39	16	136	2	1
39	16	136	9	6
39	16	136	10	3
39	16	136	12	14
39	16	154	1	1
39	16	154	8	2
39	16	154	14	6
39	16	177	25	1
39	16	177	28	3
39	16	177	36	1
39	16	177	43	1
39	16	177	47	26
39	16	177	55	1
39	16	203	0	13
39	16	226	3	70
39	16	226	9	12
39	16	226	10	1
39	16	226	11	1
39	16	226	16	9
39	16	226	23	1
39	16	226	26	3
39	16	226	32	1
39	16	226	35	13
39	16	226	36	4
39	16	226	45	1
39	16	226	48	1
39	16	226	53	1
39	16	226	65	2
39	16	226	70	4
39	16	226	73	2
39	16	247	1	9
39	16	247	2	37
39	16	247	4	19
39	16	247	5	1
39	16	247	6	3
39	17	39	16	2
39	19	39	13	1
39	19	39	16	3
39	20	39	16	2
39	21	39	16	6
39	21	39	23	1
39	21	106	8	1
39	21	106	26	1
39	21	123	13	1
39	21	136	9	2
39	21	136	12	2
39	21	177	47	1
39	21	177	52	1
39	21	226	3	2
39	21	226	9	1
39	21	247	4	1
39	22	226	36	1
39	23	39	16	2
39	23	39	21	1
39	23	247	4	1
39	24	39	2	1
39	24	39	3	2
39	24	39	16	3
106	1	106	2	3
106	1	106	4	4
106	1	106	8	12
106	1	106	10	19
106	1	106	11	2
106	1	106	12	4
106	1	106	19	1
106	1	106	21	1
106	1	106	30	1
106	1	106	32	1
106	1	106	33	4
106	1	136	1	4
106	1	136	7	1
106	1	136	9	7
106	1	136	10	1
106	1	136	12	15
106	1	177	37	1
106	1	177	47	1
106	1	203	0	2
106	1	226	3	1
106	1	226	15	1
106	1	247	4	1
106	2	39	16	3
106	2	106	1	3
106	2	106	4	4
106	2	106	6	2
106	2	106	7	3
106	2	106	8	29
106	2	106	10	11
106	2	106	11	10
106	2	106	12	12
106	2	106	16	2
106	2	106	21	7
106	2	106	22	2
106	2	106	26	9
106	2	106	30	2
106	2	106	31	1
106	2	106	32	3
106	2	106	33	2
106	2	136	7	1
106	2	136	9	2
106	2	136	10	2
106	2	136	12	2
106	2	136	13	1
106	2	177	28	1
106	2	177	36	1
106	2	177	47	1
106	2	177	52	1
106	2	203	0	4
106	2	226	3	10
106	2	226	9	3
106	2	226	10	2
106	2	226	16	1
106	2	226	17	1
106	2	226	18	1
106	2	226	53	1
106	2	226	54	1
106	2	247	1	1
106	2	247	2	1
106	2	247	4	1
106	3	106	6	1
106	3	106	8	1
106	3	106	10	1
106	3	136	7	1
106	3	136	12	3
106	3	203	0	1
106	4	35	2	1
106	4	106	1	4
106	4	106	2	4
106	4	106	7	1
106	4	106	8	36
106	4	106	10	52
106	4	106	11	5
106	4	106	12	7
106	4	106	18	1
106	4	106	21	3
106	4	106	23	2
106	4	106	26	8
106	4	106	30	4
106	4	106	31	1
106	4	106	32	1
106	4	106	33	3
106	4	136	1	3
106	4	136	9	3
106	4	136	12	10
106	4	154	14	1
106	4	177	36	1
106	4	177	40	1
106	4	177	44	1
106	4	177	47	2
106	4	203	0	2
106	4	226	3	4
106	4	226	36	1
106	4	247	2	2
106	5	106	10	4
106	5	106	12	1
106	5	106	18	1
106	5	106	30	1
106	5	106	31	1
106	5	136	12	2
106	6	106	2	2
106	6	106	3	1
106	6	106	10	4
106	6	106	11	4
106	6	106	26	3
106	6	106	29	2
106	6	106	30	2
106	6	106	32	1
106	6	136	10	2
106	6	136	12	2
106	6	154	14	1
106	6	177	24	2
106	6	177	47	2
106	6	226	3	2
106	7	106	2	3
106	7	106	4	1
106	7	106	8	3
106	7	106	10	5
106	7	106	11	1
106	7	106	12	1
106	7	106	23	2
106	7	106	33	2
106	7	123	13	1
106	7	136	9	1
106	7	136	11	1
106	7	154	14	1
106	7	177	40	1
106	7	226	16	1
106	8	35	2	1
106	8	39	13	1
106	8	39	16	18
106	8	39	21	1
106	8	106	1	12
106	8	106	2	29
106	8	106	3	1
106	8	106	4	36
106	8	106	7	3
106	8	106	9	3
106	8	106	10	231
106	8	106	11	23
106	8	106	12	38
106	8	106	13	9
106	8	106	14	6
106	8	106	15	4
106	8	106	16	7
106	8	106	17	1
106	8	106	18	3
106	8	106	20	2
106	8	106	21	19
106	8	106	22	12
106	8	106	23	22
106	8	106	24	4
106	8	106	26	41
106	8	106	27	3
106	8	106	28	4
106	8	106	29	5
106	8	106	30	11
106	8	106	31	6
106	8	106	32	20
106	8	106	33	55
106	8	123	13	8
106	8	136	1	7
106	8	136	2	1
106	8	136	3	1
106	8	136	4	2
106	8	136	6	2
106	8	136	7	3
106	8	136	9	12
106	8	136	10	10
106	8	136	11	6
106	8	136	12	89
106	8	154	8	2
106	8	154	14	5
106	8	177	5	1
106	8	177	13	1
106	8	177	16	1
106	8	177	17	1
106	8	177	25	3
106	8	177	28	2
106	8	177	36	2
106	8	177	37	1
106	8	177	39	2
106	8	177	40	7
106	8	177	43	1
106	8	177	46	1
106	8	177	47	86
106	8	177	51	2
106	8	177	52	1
106	8	177	53	1
106	8	177	59	1
106	8	177	81	1
106	8	177	82	1
106	8	203	0	72
106	8	226	3	114
106	8	226	9	5
106	8	226	10	1
106	8	226	15	1
106	8	226	16	3
106	8	226	18	1
106	8	226	26	2
106	8	226	35	13
106	8	226	36	4
106	8	226	41	3
106	8	226	43	1
106	8	226	48	2
106	8	226	65	5
106	8	226	70	2
106	8	247	1	4
106	8	247	2	42
106	8	247	3	1
106	8	247	4	15
106	8	247	6	1
106	9	106	8	3
106	9	106	10	3
106	9	106	11	2
106	9	106	12	2
106	9	106	13	1
106	9	106	24	1
106	9	106	30	1
106	9	106	31	2
106	9	203	0	1
106	9	226	9	1
106	10	35	2	1
106	10	39	16	13
106	10	106	1	19
106	10	106	2	11
106	10	106	3	1
106	10	106	4	52
106	10	106	5	4
106	10	106	6	4
106	10	106	7	5
106	10	106	8	231
106	10	106	9	3
106	10	106	11	40
106	10	106	12	69
106	10	106	13	18
106	10	106	14	7
106	10	106	15	6
106	10	106	16	17
106	10	106	18	8
106	10	106	20	3
106	10	106	21	3
106	10	106	22	7
106	10	106	23	3
106	10	106	24	5
106	10	106	26	16
106	10	106	27	14
106	10	106	28	6
106	10	106	29	13
106	10	106	30	16
106	10	106	31	11
106	10	106	32	22
106	10	106	33	47
106	10	123	8	2
106	10	123	13	6
106	10	136	1	14
106	10	136	2	1
106	10	136	4	1
106	10	136	6	4
106	10	136	7	2
106	10	136	9	8
106	10	136	10	6
106	10	136	11	2
106	10	136	12	87
106	10	136	13	4
106	10	154	8	1
106	10	154	14	2
106	10	177	17	1
106	10	177	25	2
106	10	177	28	3
106	10	177	40	6
106	10	177	47	37
106	10	177	51	1
106	10	177	55	1
106	10	177	82	1
106	10	203	0	41
106	10	226	3	39
106	10	226	9	10
106	10	226	11	4
106	10	226	16	4
106	10	226	26	11
106	10	226	29	1
106	10	226	30	1
106	10	226	32	1
106	10	226	35	10
106	10	226	36	5
106	10	226	45	1
106	10	226	48	1
106	10	226	49	1
106	10	226	53	1
106	10	226	65	3
106	10	226	73	1
106	10	247	1	5
106	10	247	2	26
106	10	247	4	7
106	10	247	5	4
106	10	247	8	1
106	11	106	1	2
106	11	106	2	10
106	11	106	4	5
106	11	106	6	4
106	11	106	7	1
106	11	106	8	23
106	11	106	9	2
106	11	106	10	40
106	11	106	12	22
106	11	106	13	2
106	11	106	15	2
106	11	106	17	1
106	11	106	18	3
106	11	106	21	2
106	11	106	22	4
106	11	106	23	2
106	11	106	26	5
106	11	106	29	1
106	11	106	30	5
106	11	106	32	8
106	11	106	33	26
106	11	136	1	18
106	11	136	4	1
106	11	136	8	2
106	11	136	10	4
106	11	136	12	16
106	11	136	13	1
106	11	154	14	1
106	11	177	24	2
106	11	177	40	1
106	11	177	44	2
106	11	177	47	5
106	11	203	0	4
106	11	226	3	4
106	11	226	65	1
106	11	247	2	1
106	12	35	2	3
106	12	106	1	4
106	12	106	2	12
106	12	106	4	7
106	12	106	5	1
106	12	106	7	1
106	12	106	8	38
106	12	106	9	2
106	12	106	10	69
106	12	106	11	22
106	12	106	13	5
106	12	106	14	14
106	12	106	15	2
106	12	106	16	1
106	12	106	18	1
106	12	106	20	2
106	12	106	21	6
106	12	106	22	4
106	12	106	23	7
106	12	106	24	1
106	12	106	26	6
106	12	106	27	4
106	12	106	28	2
106	12	106	29	3
106	12	106	30	8
106	12	106	31	1
106	12	106	32	7
106	12	106	33	33
106	12	123	13	2
106	12	136	1	17
106	12	136	3	1
106	12	136	5	1
106	12	136	6	1
106	12	136	7	2
106	12	136	9	3
106	12	136	10	2
106	12	136	11	3
106	12	136	12	29
106	12	154	11	1
106	12	154	14	3
106	12	177	37	1
106	12	177	40	3
106	12	177	46	1
106	12	177	47	13
106	12	177	80	1
106	12	203	0	10
106	12	226	3	19
106	12	226	9	4
106	12	226	10	1
106	12	226	11	4
106	12	226	16	2
106	12	226	17	1
106	12	226	18	1
106	12	226	35	1
106	12	226	36	3
106	12	226	46	1
106	12	226	53	3
106	12	226	54	1
106	12	226	65	1
106	12	226	73	1
106	12	247	2	4
106	13	106	8	9
106	13	106	9	1
106	13	106	10	18
106	13	106	11	2
106	13	106	12	5
106	13	106	14	3
106	13	106	15	5
106	13	106	16	1
106	13	106	18	2
106	13	106	21	1
106	13	106	22	1
106	13	106	23	1
106	13	106	26	3
106	13	106	30	2
106	13	106	31	1
106	13	106	32	2
106	13	106	33	1
106	13	136	1	3
106	13	136	6	1
106	13	136	10	1
106	13	136	11	1
106	13	136	12	6
106	14	106	8	6
106	14	106	10	7
106	14	106	12	14
106	14	106	13	3
106	14	106	16	1
106	14	106	26	1
106	14	106	30	1
106	14	106	31	1
106	14	136	12	2
106	15	106	8	4
106	15	106	10	6
106	15	106	11	2
106	15	106	12	2
106	15	106	13	5
106	15	106	16	2
106	15	106	18	1
106	15	106	24	1
106	15	106	32	2
106	15	106	33	1
106	15	123	13	1
106	15	136	10	1
106	15	136	11	1
106	15	136	12	2
106	15	226	71	1
106	16	35	2	1
106	16	106	2	2
106	16	106	8	7
106	16	106	10	17
106	16	106	12	1
106	16	106	13	1
106	16	106	14	1
106	16	106	15	2
106	16	106	18	2
106	16	106	24	1
106	16	106	26	1
106	16	106	31	1
106	16	106	32	2
106	16	106	33	1
106	16	136	1	1
106	16	136	12	4
106	17	106	8	1
106	17	106	11	1
106	17	136	12	1
106	17	203	0	1
106	18	106	4	1
106	18	106	5	1
106	18	106	8	3
106	18	106	10	8
106	18	106	11	3
106	18	106	12	1
106	18	106	13	2
106	18	106	15	1
106	18	106	16	2
106	18	106	21	1
106	18	106	24	1
106	18	106	31	1
106	18	106	32	1
106	18	106	33	1
106	18	136	1	7
106	18	136	9	1
106	18	136	10	1
106	18	136	12	4
106	18	177	24	1
106	18	177	40	1
106	18	177	47	1
106	18	203	0	2
106	18	226	3	1
106	19	106	1	1
106	20	106	8	2
106	20	106	10	3
106	20	106	12	2
106	20	106	29	1
106	20	136	12	1
106	21	39	16	3
106	21	106	1	1
106	21	106	2	7
106	21	106	4	3
106	21	106	8	19
106	21	106	10	3
106	21	106	11	2
106	21	106	12	6
106	21	106	13	1
106	21	106	18	1
106	21	106	22	2
106	21	106	23	2
106	21	106	26	3
106	21	106	27	1
106	21	106	30	2
106	21	106	32	2
106	21	106	33	1
106	21	136	12	3
106	21	177	36	1
106	21	203	0	5
106	21	226	3	9
106	21	226	9	1
106	21	226	26	4
106	21	247	2	2
106	22	106	2	2
106	22	106	8	12
106	22	106	10	7
106	22	106	11	4
106	22	106	12	4
106	22	106	13	1
106	22	106	21	2
106	22	106	23	1
106	22	106	24	1
106	22	106	26	2
106	22	106	27	3
106	22	106	30	1
106	22	106	33	1
106	22	136	1	1
106	22	136	12	2
106	22	177	40	1
106	22	177	47	1
106	22	203	0	2
106	22	226	3	1
106	22	226	9	1
106	22	226	65	1
106	22	226	70	1
106	22	247	2	2
106	23	106	4	2
106	23	106	7	2
106	23	106	8	22
106	23	106	10	3
106	23	106	11	2
106	23	106	12	7
106	23	106	13	1
106	23	106	21	2
106	23	106	22	1
106	23	106	26	2
106	23	106	29	1
106	23	106	30	1
106	23	106	33	1
106	23	177	44	1
106	23	226	3	2
106	23	226	35	1
106	23	226	70	1
106	24	106	8	4
106	24	106	9	1
106	24	106	10	5
106	24	106	12	1
106	24	106	15	1
106	24	106	16	1
106	24	106	18	1
106	24	106	22	1
106	24	106	30	1
106	24	106	32	1
106	24	106	33	3
106	24	136	1	7
106	24	136	9	1
106	24	136	10	2
106	24	136	12	11
106	24	226	3	2
106	24	226	35	1
106	26	39	21	1
106	26	106	2	9
106	26	106	4	8
106	26	106	6	3
106	26	106	8	41
106	26	106	10	16
106	26	106	11	5
106	26	106	12	6
106	26	106	13	3
106	26	106	14	1
106	26	106	16	1
106	26	106	21	3
106	26	106	22	2
106	26	106	23	2
106	26	106	27	2
106	26	106	28	3
106	26	106	29	1
106	26	106	30	3
106	26	106	31	2
106	26	106	32	4
106	26	106	33	2
106	26	136	9	1
106	26	136	12	1
106	26	177	17	1
106	26	177	40	1
106	26	177	47	2
106	26	203	0	1
106	26	226	3	5
106	26	226	65	1
106	26	247	2	1
106	26	247	4	1
106	27	106	8	3
106	27	106	10	14
106	27	106	12	4
106	27	106	21	1
106	27	106	22	3
106	27	106	26	2
106	27	106	28	1
106	27	106	29	2
106	27	106	32	1
106	27	106	33	1
106	27	136	12	2
106	27	177	40	1
106	27	203	0	1
106	28	106	8	4
106	28	106	10	6
106	28	106	12	2
106	28	106	26	3
106	28	106	27	1
106	28	106	33	1
106	28	136	9	2
106	29	106	6	2
106	29	106	8	5
106	29	106	10	13
106	29	106	11	1
106	29	106	12	3
106	29	106	20	1
106	29	106	23	1
106	29	106	26	1
106	29	106	27	2
106	29	106	30	2
106	29	106	33	7
106	29	136	9	1
106	29	136	12	2
106	29	154	14	1
106	29	177	25	1
106	29	203	0	1
106	29	226	3	3
106	29	226	9	1
106	30	106	1	1
106	30	106	2	2
106	30	106	4	4
106	30	106	5	1
106	30	106	6	2
106	30	106	8	11
106	30	106	9	1
106	30	106	10	16
106	30	106	11	5
106	30	106	12	8
106	30	106	13	2
106	30	106	14	1
106	30	106	21	2
106	30	106	22	1
106	30	106	23	1
106	30	106	24	1
106	30	106	26	3
106	30	106	29	2
106	30	106	31	1
106	30	106	32	2
106	30	106	33	2
106	30	136	1	5
106	30	136	2	1
106	30	136	9	4
106	30	136	12	14
106	30	154	8	1
106	30	177	40	1
106	30	177	47	1
106	30	226	3	1
106	31	106	2	1
106	31	106	4	1
106	31	106	5	1
106	31	106	8	6
106	31	106	9	2
106	31	106	10	11
106	31	106	12	1
106	31	106	13	1
106	31	106	14	1
106	31	106	16	1
106	31	106	18	1
106	31	106	26	2
106	31	106	30	1
106	31	106	32	2
106	31	106	33	2
106	31	136	1	2
106	31	136	6	1
106	31	136	7	1
106	31	136	8	1
106	31	136	9	1
106	31	136	12	5
106	32	106	1	1
106	32	106	2	3
106	32	106	4	1
106	32	106	6	1
106	32	106	8	20
106	32	106	10	22
106	32	106	11	8
106	32	106	12	7
106	32	106	13	2
106	32	106	15	2
106	32	106	16	2
106	32	106	18	1
106	32	106	21	2
106	32	106	24	1
106	32	106	26	4
106	32	106	27	1
106	32	106	30	2
106	32	106	31	2
106	32	106	33	3
106	32	136	1	2
106	32	136	9	2
106	32	136	10	3
106	32	136	12	19
106	32	177	28	1
106	32	177	52	1
106	32	203	0	2
106	32	226	3	2
106	32	226	35	1
106	32	226	36	1
106	33	106	1	4
106	33	106	2	2
106	33	106	4	3
106	33	106	7	2
106	33	106	8	55
106	33	106	10	47
106	33	106	11	26
106	33	106	12	33
106	33	106	13	1
106	33	106	15	1
106	33	106	16	1
106	33	106	18	1
106	33	106	21	1
106	33	106	22	1
106	33	106	23	1
106	33	106	24	3
106	33	106	26	2
106	33	106	27	1
106	33	106	28	1
106	33	106	29	7
106	33	106	30	2
106	33	106	31	2
106	33	106	32	3
106	33	136	1	7
106	33	136	2	1
106	33	136	3	6
106	33	136	4	4
106	33	136	6	2
106	33	136	9	2
106	33	136	11	1
106	33	136	12	40
106	33	136	13	2
106	33	154	14	2
106	33	177	47	8
106	33	203	0	13
106	33	226	3	1
106	33	226	9	1
106	33	226	16	2
106	33	226	65	2
106	33	247	2	3
106	33	247	4	2
123	4	123	12	1
123	4	123	13	3
123	4	226	28	1
123	4	226	35	1
123	6	123	13	4
123	6	226	3	1
123	7	123	11	1
123	7	123	13	1
123	8	39	16	1
123	8	106	10	2
123	8	123	13	10
123	8	136	10	1
123	8	177	47	1
123	8	203	0	1
123	8	226	3	1
123	8	226	16	2
123	8	226	45	1
123	8	247	4	1
123	11	123	7	1
123	11	123	13	2
123	11	226	3	1
123	12	123	4	1
123	12	123	13	10
123	12	154	14	1
123	12	226	3	4
123	12	226	43	1
123	12	247	2	2
123	12	247	5	1
123	12	247	6	1
123	13	39	11	1
123	13	39	16	29
123	13	39	21	1
123	13	106	7	1
123	13	106	8	8
123	13	106	10	6
123	13	106	12	2
123	13	106	15	1
123	13	123	4	3
123	13	123	6	4
123	13	123	7	1
123	13	123	8	10
123	13	123	11	2
123	13	123	12	10
123	13	123	14	1
123	13	123	15	1
123	13	123	16	1
123	13	136	9	1
123	13	136	11	1
123	13	136	12	7
123	13	154	8	3
123	13	154	14	8
123	13	177	40	2
123	13	177	47	10
123	13	203	0	5
123	13	226	3	52
123	13	226	9	1
123	13	226	15	1
123	13	226	16	16
123	13	226	23	1
123	13	226	26	6
123	13	226	35	7
123	13	226	36	2
123	13	226	51	1
123	13	226	62	1
123	13	226	65	4
123	13	226	70	5
123	13	226	73	1
123	13	226	74	1
123	13	247	1	2
123	13	247	2	26
123	13	247	3	1
123	13	247	4	10
123	13	247	6	1
123	14	123	13	1
123	15	123	13	1
123	16	123	13	1
136	1	35	2	6
136	1	106	1	4
136	1	106	4	3
136	1	106	8	7
136	1	106	10	14
136	1	106	11	18
136	1	106	12	17
136	1	106	13	3
136	1	106	16	1
136	1	106	18	7
136	1	106	22	1
136	1	106	24	7
136	1	106	30	5
136	1	106	31	2
136	1	106	32	2
136	1	106	33	7
136	1	136	2	13
136	1	136	3	4
136	1	136	4	51
136	1	136	5	16
136	1	136	6	50
136	1	136	7	22
136	1	136	8	38
136	1	136	9	48
136	1	136	10	17
136	1	136	11	4
136	1	136	12	511
136	1	136	13	22
136	1	177	51	3
136	1	203	0	18
136	1	226	3	34
136	1	226	11	1
136	1	226	30	1
136	1	226	36	1
136	1	226	41	1
136	1	226	65	1
136	1	247	2	2
136	2	39	16	1
136	2	106	8	1
136	2	106	10	1
136	2	106	30	1
136	2	106	33	1
136	2	136	1	13
136	2	136	3	10
136	2	136	4	5
136	2	136	5	11
136	2	136	6	7
136	2	136	7	4
136	2	136	8	5
136	2	136	9	29
136	2	136	10	2
136	2	136	11	3
136	2	136	12	146
136	2	136	13	12
136	2	177	40	1
136	2	177	47	1
136	2	203	0	4
136	2	226	3	3
136	2	226	16	1
136	2	226	36	1
136	2	247	1	1
136	2	247	2	1
136	3	106	8	1
136	3	106	12	1
136	3	106	33	6
136	3	136	1	4
136	3	136	2	10
136	3	136	4	2
136	3	136	5	6
136	3	136	6	13
136	3	136	7	4
136	3	136	8	1
136	3	136	9	18
136	3	136	10	4
136	3	136	11	3
136	3	136	12	75
136	3	136	13	6
136	3	177	47	1
136	3	203	0	1
